#buildingId(key)	heatingNeeds(Wh)	coolingNeeds(Wh)
10650(295094177):	2.51914e+09	-5.27298e+07
10656(1013161):	5.46826e+07	-1.35211e+07
10657(295010323):	3.09167e+07	-1.53053e+07
10658(1012976):	8.00088e+07	-942177
10707(295111490):	1.81829e+08	-5.89201e+06
10716(2037853):	5.81842e+08	-2.40503e+07
10730(9059028):	5.8018e+08	-2.06326e+07
10761(2038199):	1.26552e+08	-2.74368e+06
10763(295080440):	3.51009e+07	-1.05779e+06
10765(1013232):	9.21309e+07	-1.7228e+07
10769(1012858):	4.90785e+07	-2.51862e+06
10771(2039718):	8.05673e+07	-2.28123e+06
10773(1013099):	8.05369e+07	-2.53243e+06
10781(295087674):	1.9365e+06	-180673
10782(1012856):	4.97461e+07	-2.46989e+06
10790(295095849):	7.55264e+06	-19372.7
10791(295083698):	3.5107e+07	-1.67938e+06
10807(295097377):	751806	-18222.4
10826(295102034):	3.7364e+06	-121658
10835(295102558):	1.39031e+07	-511960
10911(2038233):	2.85559e+08	-1.08752e+07
10930(1013152):	4.40355e+07	-1.25903e+08
10940(1013295):	7.47685e+07	-6.75413e+06
10950(295079700):	5.46122e+06	-137254
10952(1013262):	7.70657e+07	-9.88749e+06
10953(295101759):	8.70881e+06	-376378
10954(295080524):	3.61886e+06	-68834.5
10957(295060367):	6.70128e+07	-2.3254e+06
10964(1012870):	8.09972e+07	-1.06179e+07
10984(295080443):	1.95238e+07	-1.62328e+06
10990(2037101):	5.05207e+07	-1.68998e+06
10992(1013257):	1.05311e+08	-1.24627e+07
10996(1012879):	7.19521e+07	-7.16112e+06
10997(1012851):	7.40108e+07	-5.90443e+06
11001(1012908):	4.48488e+07	-1.018e+07
11008(295101758):	3.43376e+07	-980649
11018(295095063):	2.6351e+06	-132120
11020(295081226):	1.08424e+07	-165581
11032(295095357):	4.70116e+07	-1.01137e+06
11044(1013291):	8.02522e+07	-2.01377e+06
11046(1013053):	7.81181e+07	-1.64204e+06
11048(295103728):	2.5528e+07	-105863
11049(1012978):	4.89475e+07	-1.20394e+06
11055(1013024):	8.29521e+07	-1.53747e+06
11067(295094843):	8.18474e+06	-66604.9
11134(295139751):	3.35985e+06	-406586
11178(2036979):	9.18253e+08	-8.13853e+06
11179(295516186):	8.37278e+06	-443528
11261(1012979):	1.62484e+08	-7.67748e+06
11265(1012981):	1.322e+08	-1.85343e+07
11277(1013221):	1.56101e+08	-4.71874e+06
11278(1012931):	7.55923e+07	-7.42012e+06
11283(295079709):	1.77466e+06	-105200
11291(295101045):	2.43833e+07	-2.56979e+06
11292(1013225):	9.80754e+07	-8.8705e+06
11296(1013180):	7.58988e+07	-4.35715e+07
11314(295116925):	7.6202e+07	-2.43078e+06
11316(1013124):	7.71474e+07	-5.17711e+06
11318(1013219):	5.89881e+07	-1.86898e+07
11327(2039717):	8.16819e+07	-2.28605e+06
11328(1012892):	6.34328e+07	-2.09914e+07
11414(295030288):	1.63828e+08	-4.68338e+06
11627(1013036):	1.17828e+08	-1.49828e+06
11885(1012987):	9.41001e+07	-8.22008e+06
11903(295081033):	4.29544e+07	-1.74458e+06
11906(295081243):	4.99991e+07	-2.06421e+06
11911(1012874):	8.84259e+07	-7.05648e+06
11912(1013280):	7.20941e+07	-3.17848e+06
11916(1012881):	9.43625e+07	-2.05179e+07
11917(1013229):	9.72789e+07	-8.63039e+06
11927(1013245):	6.34243e+07	-1.14951e+07
11928(1013090):	8.01372e+07	-1.19288e+07
11939(295101816):	1.49177e+07	-1.3761e+06
11952(295096280):	1.10065e+06	-102284
11953(295095340):	769924	-16120
11966(295097004):	1.70901e+07	-92953.6
11978(295094780):	1.09578e+06	-131586
12061(2037445):	8.73579e+07	-4.40635e+06
12062(1013188):	1.14827e+08	-2.52864e+07
12064(1012896):	1.02876e+08	-2.58441e+07
12080(1013128):	1.42711e+08	-2.58339e+06
12082(1013167):	7.50841e+07	-1.24151e+07
12083(1013159):	7.48546e+07	-1.55168e+07
12084(1013218):	9.09624e+07	-8.56054e+06
12089(1012991):	7.9283e+07	-2.72518e+06
12092(295085068):	5.85774e+07	-1.07999e+06
12099(295096733):	2.39785e+07	-2.60971e+06
12106(1012912):	1.0909e+08	-2.12764e+06
12126(1013004):	7.85075e+07	-5.74539e+06
12466(1013224):	9.72053e+07	-8.71738e+06
12502(295101765):	1.88949e+07	-895878
12512(295095118):	4.81521e+06	-54536.5
12572(2039710):	1.17235e+08	-3.18097e+06
12584(295094875):	5.62051e+08	-1.74195e+07
12592(1012913):	9.97156e+07	-2.39487e+06
12593(2038019):	5.26809e+08	-5.85999e+07
12596(2037122):	1.85885e+08	-2.84375e+07
12598(2037814):	1.65557e+08	-6.28517e+06
12636(1013091):	1.54839e+08	-4.54683e+06
12637(1013125):	1.29248e+08	-2.48934e+06
12639(3131675):	2.49693e+07	-5.41945e+07
12640(295030365):	1.42478e+08	-1.93918e+07
12642(2038200):	1.42626e+08	-2.45954e+06
12648(1013094):	8.06151e+07	-2.4951e+06
12650(2037896):	6.67612e+07	-1.6121e+06
12651(1012969):	9.95054e+07	-7.67753e+06
12652(1012939):	1.13428e+08	-2.31787e+06
12653(295112328):	1.30803e+08	-9.1655e+06
12657(1013256):	1.56043e+08	-5.60101e+06
12660(1013144):	1.20471e+08	-2.5724e+06
12664(1013259):	7.53604e+07	-1.12569e+07
12665(1012977):	4.7336e+07	-1.15976e+06
12669(295080529):	1.6618e+06	-102533
12671(1012861):	5.02867e+07	-2.36952e+06
12673(295095131):	1.58649e+06	-246891
12676(295094179):	3.28443e+06	-74559.1
12678(295095857):	5.76428e+06	-130806
12680(295081094):	9.48414e+06	-516908
12703(1013002):	5.93812e+07	-4.23879e+06
12704(1013281):	1.22658e+07	-2.73762e+07
12716(295103532):	6.96284e+06	-627.773
12717(295087309):	6.55328e+07	-2.68423e+06
12727(295079680):	5.07607e+06	-270396
12728(295079679):	4.84682e+06	-309397
12851(2039261):	3.18208e+08	-1.58345e+07
12856(1012850):	1.19148e+08	-1.51081e+07
12872(1013165):	5.14539e+07	-1.19263e+08
12875(1012959):	2.35197e+08	-2.777e+06
12882(1013204):	1.58751e+08	-3.34278e+06
12890(295101082):	1.04025e+06	-155792
12901(1013044):	7.97103e+07	-1.50664e+06
12904(1013030):	8.28085e+07	-2.25577e+06
12906(295081448):	1.26217e+07	-191989
12910(295079698):	1.83866e+07	-21376.6
12915(295101763):	5.4347e+06	-176416
12925(1013050):	1.02732e+08	-4.52879e+06
12932(1013283):	7.62113e+07	-1.04515e+07
12933(1012937):	6.20461e+07	-1.17422e+07
12935(1013064):	5.0755e+07	-3.94333e+06
13388(295104837):	2.29276e+08	-9.22234e+06
13443(2037816):	7.80396e+07	-29025.2
13445(1012953):	1.18818e+08	-3.98179e+07
13447(1013107):	1.35368e+09	-2.29772e+07
13452(1013263):	1.7646e+08	-3.0546e+07
13456(2036987):	4.88744e+08	-1.34686e+07
13457(1013223):	1.56453e+08	-8.87159e+06
13459(2037446):	1.41771e+08	-6.74591e+06
13488(1013172):	5.15432e+07	-1.30881e+07
13489(1012859):	1.08048e+08	-1.1926e+07
13491(1012961):	1.67293e+08	-6.88493e+06
13495(2039712):	1.036e+08	-2.57946e+06
13497(2038111):	9.93018e+07	-2.13671e+06
13503(1013198):	7.82883e+07	-1.39656e+07
13504(295009895):	1.48848e+08	-4.97358e+06
13505(2750089):	9.29677e+07	-9.18679e+06
13506(295096301):	2.82064e+08	-1.75198e+07
13509(1012985):	9.72864e+07	-1.06028e+07
13512(1012962):	4.66598e+07	-7.91488e+06
13514(1013092):	7.98734e+07	-2.47605e+06
13515(1013146):	1.60628e+08	-4.25577e+06
13518(1013108):	8.8109e+07	-8.23266e+06
13519(1013239):	1.36713e+08	-1.01598e+07
13520(1013042):	6.45025e+07	-2.12697e+07
13522(1013175):	4.00156e+07	-1.76967e+07
13523(1012984):	7.29603e+07	-7.45628e+06
13525(1013258):	1.07885e+08	-1.26849e+07
13532(1012889):	7.64846e+07	-1.32902e+07
13534(1013216):	7.50976e+07	-1.0176e+07
13535(1012863):	6.20451e+07	-7.98674e+06
13542(295081238):	7.46498e+06	-481531
13544(295094207):	9.0614e+06	-159030
13559(295096281):	1.08719e+06	-96993.7
13562(295096976):	2.30584e+07	-2.24583e+06
13563(295094829):	2.30063e+07	-2.5261e+06
13564(2039716):	1.30109e+09	-3.87012e+07
13566(295095358):	1.02152e+06	-13022
13571(1013215):	6.71789e+07	-5.2427e+06
13572(1013282):	5.68599e+07	-5.69273e+06
13573(1012916):	8.22662e+07	-2.29595e+06
13576(1013207):	9.70829e+07	-1.77226e+06
13581(1013214):	1.00374e+08	-1.24312e+06
13583(295102607):	3.28163e+07	-2.55081e+06
13605(295094186):	7.5385e+06	-78031.9
13639(295127868):	1.28866e+08	-7.19921e+06
13771(295514154):	7.18336e+08	-3.79578e+07
13826(1013156):	8.50746e+07	-1.57915e+07
13829(1013237):	9.59724e+07	-2.97926e+06
13833(1013286):	1.08429e+08	-2.01757e+06
13834(1013062):	4.68023e+07	-6.99308e+06
13840(1013265):	8.06477e+07	-1.33495e+07
13846(295096984):	2.51021e+07	-201358
13865(1012943):	5.30737e+07	-2.6776e+06
13870(1013077):	6.18184e+07	-1.0267e+07
13877(1012970):	1.3663e+08	-4.65451e+06
13884(1012903):	9.34173e+07	-8.74589e+06
14331(1012899):	1.42476e+08	-1.44663e+07
14338(1013019):	6.63651e+07	-3.51435e+06
14360(1013270):	1.86109e+08	-8.50198e+07
14361(2038336):	3.12901e+08	-1.38978e+07
14362(295080444):	6.50952e+08	-2.95157e+07
14367(1013080):	1.15887e+08	-3.50018e+07
14398(295116928):	1.54535e+08	-3.2301e+06
14399(2036988):	1.11076e+08	-7.36468e+06
14406(2039335):	1.23621e+08	-4.89676e+06
14407(2037889):	1.25065e+07	-4.62461e+06
14409(1012906):	1.36406e+08	-1.01913e+07
14410(1013187):	1.2486e+08	-2.18563e+07
14412(1012919):	1.32338e+08	-2.77922e+06
14419(1013287):	7.85987e+07	-9.1067e+06
14420(1013087):	5.89984e+07	-1.5749e+07
14425(1013240):	6.81693e+07	-2.74264e+06
14427(1012865):	7.32417e+07	-5.92122e+06
14433(1012944):	1.11367e+08	-1.60485e+06
14437(1012907):	9.49895e+07	-4.86954e+06
14451(1013015):	3.84447e+07	-1.14904e+07
14479(295099699):	882270	-61102.6
14484(1013025):	7.86193e+07	-1.93058e+06
14485(295103727):	2.04533e+07	-681639
14486(1012915):	8.95277e+07	-5.62304e+06
14507(295101787):	8.24751e+06	-211421
14508(295101643):	7.0601e+06	-37941.8
14509(295095062):	8.05091e+06	-642385
14518(295081205):	5.13777e+06	-236486
14544(2037880):	4.28615e+08	-4.7253e+07
14682(2037099):	7.0821e+07	-1.43532e+07
14712(2037954):	1.36151e+08	-4.82105e+06
14715(1012925):	1.31692e+08	-3.24977e+06
14716(295081201):	3.30825e+09	-4.37896e+07
14723(1013190):	1.22884e+08	-2.22238e+07
14724(1013193):	1.12174e+08	-2.5166e+07
14725(2037883):	2.34118e+07	-1.35846e+06
14726(295080453):	3.2714e+06	-398185
14727(1013140):	1.08285e+08	-8.47636e+06
14733(295132125):	683061	-58286.8
14735(2038398):	1.97884e+07	-137548
14737(1013264):	4.95813e+07	-4.94172e+06
14738(295101589):	1.12597e+07	-1.51539e+06
14743(295101080):	3.25239e+06	-1.85457e+06
14747(2038945):	7.67073e+07	-273153
14748(2037285):	1.6127e+08	-5.15063e+06
14752(1013109):	9.76978e+07	-6.88157e+06
14769(2039729):	6.55231e+07	-1.66322e+06
15019(1013037):	1.17665e+08	-1.2597e+07
