EGID,heatingNeeds(Wh),coolingNeeds(Wh),GBAUP,GASTW,GAREA,GKLAS
1013132,190405000.0,-5108630.0,8011.0,7.0,331.0,1122.0
2038841,145245000.0,-8565230.0,8014.0,7.0,324.0,1122.0
2037107,64843800.0,-188717000.0,8013.0,7.0,1276.0,1230.0
1013255,1049350000.0,-31907200.0,8012.0,1.0,1432.0,1274.0
1012880,64825400.0,-5395890.0,8012.0,6.0,196.0,1122.0
295101565,61209100.0,-547045.0,8014.0,1.0,194.0,1220.0
1013113,100196000.0,-2356980.0,8011.0,6.0,195.0,1122.0
295080441,29084000.0,-3847080.0,,,,
295094839,21209700.0,-2525050.0,,,,
295094560,24112300.0,-2477430.0,,,,
1013246,107953000.0,-15616700.0,8012.0,7.0,295.0,1122.0
295081589,98667000.0,-2206480.0,8012.0,2.0,292.0,1220.0
1012956,174680000.0,-5191760.0,8011.0,7.0,288.0,1122.0
295087875,54282500.0,-480282.0,,,,
295095807,92123400.0,-10984400.0,8012.0,6.0,231.0,1251.0
2039730,35537200.0,-24546000.0,8018.0,7.0,394.0,1122.0
295101570,218406000.0,-4467370.0,,,,
1012947,238182000.0,-5076570.0,8015.0,9.0,551.0,1122.0
2039722,214606000.0,-6033060.0,8013.0,4.0,518.0,1130.0
295095861,406152000.0,-13243000.0,8012.0,3.0,959.0,1251.0
295172940,352779000.0,-7885320.0,,,,
295080460,88363800.0,-2618610.0,8013.0,1.0,504.0,1251.0
1013195,73552100.0,-33109900.0,8014.0,8.0,360.0,1122.0
1012878,80713900.0,-8473970.0,8011.0,6.0,264.0,1122.0
1012965,166221000.0,-6605320.0,8011.0,7.0,286.0,1220.0
295112736,367385000.0,-25746200.0,8022.0,8.0,1121.0,1220.0
1013085,68788300.0,-17834800.0,8012.0,8.0,243.0,1122.0
2037813,50605600.0,-3674560.0,8013.0,2.0,244.0,1251.0
1013013,79460200.0,-9737090.0,8012.0,7.0,220.0,1122.0
295080714,85565400.0,-1532700.0,8013.0,5.0,221.0,1122.0
1012864,74384500.0,-5503850.0,8012.0,5.0,202.0,1122.0
295096297,17612000.0,-249319.0,,,,
2039332,128448000.0,-35495500.0,8014.0,8.0,474.0,1130.0
1013028,77900500.0,-2152880.0,8011.0,6.0,148.0,1122.0
1013196,50987500.0,-5140080.0,8011.0,6.0,151.0,1122.0
295081281,7754050.0,-135443.0,,,,
295095545,16462800.0,-87430.6,8011.0,2.0,50.0,1110.0
295516185,8239450.0,-502246.0,,,,
295097005,253648000.0,-8145490.0,8012.0,5.0,595.0,1220.0
2037214,103984000.0,-2360420.0,8013.0,4.0,399.0,1263.0
1013150,195678000.0,-4554970.0,8011.0,7.0,327.0,1122.0
