timestamp,h_day,G_Dh_min,G_Dh_mean,G_Dh_var,G_Bn_min,G_Bn_mean,G_Bn_var,Ta_min,Ta_mean,Ta_var,FF_min,FF_mean,FF_var,DD_min,DD_mean,DD_var
2017-01-01,9.0,0.0,34.833333333333336,58.5845109865759,0.0,32.083333333333336,55.71973084821122,5.8,9.3,1.9871325200333052,1.2,2.3958333333333335,0.8645074831404277,36.0,216.375,68.83996090492283
2017-01-02,9.0,0.0,16.791666666666668,26.335591996328873,0.0,208.41666666666666,344.33463459215096,0.2,3.8333333333333335,2.2676681504531717,0.2,2.275000000000001,1.1163800194495093,35.0,203.20833333333334,72.03741731040628
2017-01-03,9.0,0.0,17.541666666666668,29.476562785087214,0.0,0.0,0.0,2.8,4.2625,1.1123076287024043,0.2,1.629166666666667,1.381391600388242,22.0,233.70833333333334,88.50127936518975
2017-01-04,9.0,0.0,20.25,33.682984996298494,0.0,0.0,0.0,1.4,2.9875000000000007,0.7668753654192814,1.1,2.2583333333333333,1.051258734820421,20.0,201.95833333333334,82.3399523537826
2017-01-05,9.0,0.0,32.5,53.33487316617688,0.0,57.666666666666664,106.08719410759805,-0.1,2.725,2.211285284330281,1.4,2.879166666666667,0.8592105409171775,7.0,163.875,85.62217942037947
2017-01-06,9.0,0.0,24.625,40.0378217928129,0.0,0.0,0.0,0.3,1.4541666666666666,0.6934345313548802,0.5,3.4499999999999997,1.7275265051763915,9.0,123.0,108.45916883485613
2017-01-07,9.0,0.0,15.708333333333334,25.979053714176306,0.0,0.0,0.0,0.7,2.408333333333333,1.0874448178570064,0.4,0.9375,0.5139890880249265,217.0,261.375,33.88447444915814
2017-01-08,9.0,0.0,18.333333333333332,30.008211436591626,0.0,0.0,0.0,-0.2,1.1666666666666667,0.6728696925768063,0.3,2.2166666666666663,1.4104167335645308,25.0,195.41666666666666,89.72029806046106
2017-01-09,9.0,0.0,19.125,38.15222655762502,0.0,46.916666666666664,109.05440073119736,-1.2,0.3791666666666666,1.3554973952043572,2.2,3.6250000000000004,0.8226415564720654,10.0,102.45833333333333,84.26355092501593
2017-01-10,9.0,0.0,20.375,32.91466238623754,0.0,0.0,0.0,0.0,0.9041666666666668,0.7821259582015889,2.4,5.191666666666667,2.5540958864344643,0.0,188.54166666666666,127.20848316211382
2017-01-11,9.0,0.0,40.0,64.99565202849108,0.0,35.125,52.86431565399497,-0.8,1.9333333333333336,2.4602344650842545,2.2,5.083333333333334,1.1753507031360124,10.0,122.83333333333333,121.23662334698913
2017-01-12,9.0,0.0,35.833333333333336,55.55542995154883,0.0,98.20833333333333,185.1312059210902,-6.1,-3.7041666666666657,1.524432657593057,0.5,2.916666666666666,1.8025746481959741,3.0,190.41666666666666,94.54325748688737
2017-01-13,9.0,0.0,28.541666666666668,50.0573403092951,0.0,3.5416666666666665,16.518709199667764,-5.1,-1.6375,2.212771722444992,0.8,2.604166666666667,0.924769849942308,29.0,193.75,81.19447935827206
2017-01-14,9.0,0.0,21.75,32.229138854526475,0.0,244.875,369.5220547045108,-4.6,-1.0041666666666667,2.828500780743514,0.1,1.0666666666666664,0.6531972647421808,196.0,255.41666666666666,30.775366584425868
2017-01-15,9.0,0.0,18.083333333333332,26.717388356269222,0.0,212.54166666666666,325.02267200741636,-5.5,-2.9333333333333336,2.2003293561106525,1.4,4.329166666666667,1.914811641699623,4.0,114.41666666666667,108.84968361547224
2017-01-16,9.0,0.0,17.166666666666668,25.397135522606153,0.0,240.16666666666666,363.74461498080797,-5.2,-0.1375000000000001,4.293353052659729,1.4,2.7000000000000006,0.9468483189668948,24.0,194.45833333333334,81.12844307246579
2017-01-17,9.0,0.0,28.0,44.08193951386835,0.0,0.20833333333333334,1.0206207261596576,0.5,2.2208333333333328,1.2093761117659574,1.3,3.0958333333333337,1.030187474144419,29.0,166.04166666666666,76.2852080747932
2017-01-18,9.0,0.0,7.75,12.273159119909133,0.0,0.0,0.0,1.8,3.4083333333333337,0.6613008699372102,1.2,3.7708333333333335,1.848731449133295,5.0,149.04166666666666,120.07515007971745
2017-01-19,9.0,0.0,7.916666666666667,12.55913548210907,0.0,0.0,0.0,3.4,4.858333333333333,0.6226986616240685,4.1,5.816666666666667,0.9626352718795769,5.0,97.29166666666667,124.54420523641802
2017-01-20,9.0,0.0,19.666666666666668,31.16250069033874,0.0,0.0,0.0,3.5,4.5375,0.6546240208666744,1.7,3.9541666666666675,1.2363969978254896,20.0,150.95833333333334,102.30834857628089
2017-01-21,9.0,0.0,23.916666666666668,40.0140373919678,0.0,0.0,0.0,4.6,6.75,1.5866289119853532,2.2,6.304166666666667,2.0916977017155993,3.0,203.16666666666666,143.69583415542425
2017-01-22,10.0,0.0,36.625,59.597061862215114,0.0,76.58333333333333,165.13918152686333,4.4,7.383333333333334,2.551839347994111,1.3,3.6250000000000004,2.0824838847959386,6.0,154.33333333333334,106.9874704840698
2017-01-23,10.0,0.0,36.083333333333336,55.44203135329468,0.0,100.625,154.7589464998361,0.8,4.050000000000001,2.422359611403006,0.1,1.1708333333333332,0.8099807655615718,112.0,261.7083333333333,45.84897625016729
2017-01-24,10.0,0.0,36.5,57.40852837719133,0.0,1.5833333333333333,3.3868886153450073,-1.1,0.6749999999999999,1.104634505754889,0.0,0.7041666666666667,0.5103103630798288,231.0,280.8333333333333,28.71549599336443
2017-01-25,10.0,0.0,22.166666666666668,35.01759392159848,0.0,0.0,0.0,0.0,1.6624999999999996,1.3249487274739287,0.7,1.2375000000000005,0.3536302416735409,218.0,253.25,20.349660824008208
